# Generated by cmd/dp-string-census (make string-census-update). Do not edit by hand.
# C player-facing segments no Go segment contains (port gaps).
# columns: segment	file:line	sink	function
Change causes new length to exceed buffer maximum size, aborted.	src/improved-edit.c:459	write_to_output	parse_action
Line number must be higher than 0.	src/improved-edit.c:469	write_to_output	parse_action
Invalid option.	src/improved-edit.c:474	write_to_output	parse_action
Sorry, that command hasn't been implemented yet.	src/interpreter.c:920	send_to_char	command_interpreter
Lie still; you are DEAD!!! :-(	src/interpreter.c:926	send_to_char	command_interpreter
You are in a pretty bad shape, unable to do anything!	src/interpreter.c:930	send_to_char	command_interpreter
All you can do right now is think about the stars!	src/interpreter.c:933	send_to_char	command_interpreter
In your dreams, or what?	src/interpreter.c:936	send_to_char	command_interpreter
Nah... You feel too relaxed to do that..	src/interpreter.c:939	send_to_char	command_interpreter
Maybe you should get on your feet first?	src/interpreter.c:942	send_to_char	command_interpreter
Multiple login detected -- disconnecting.	src/interpreter.c:1550	SEND_TO_Q	perform_dupe_check
This body has been usurped!	src/interpreter.c:1566	SEND_TO_Q	perform_dupe_check
Multiple login detected -- disconnecting.	src/interpreter.c:1573	SEND_TO_Q	perform_dupe_check
Reconnecting.	src/interpreter.c:1636	SEND_TO_Q	perform_dupe_check
You have mail waiting.	src/interpreter.c:1638	send_to_char	perform_dupe_check
has reconnected.	src/interpreter.c:1639	act	perform_dupe_check
] has reconnected.	src/interpreter.c:1640	buffered:sprintf	perform_dupe_check
You take over your own body, already in use!	src/interpreter.c:1644	SEND_TO_Q	perform_dupe_check
's body has been taken over by a new spirit!	src/interpreter.c:1645	act	perform_dupe_check
suddenly keels over in pain, surrounded by a white aura...	src/interpreter.c:1645	act	perform_dupe_check
has re-logged in ... disconnecting old socket.	src/interpreter.c:1648	buffered:sprintf	perform_dupe_check
Reconnecting to unswitched char.	src/interpreter.c:1653	SEND_TO_Q	perform_dupe_check
] has reconnected.	src/interpreter.c:1654	buffered:sprintf	perform_dupe_check
Invalid name, please try another.	src/interpreter.c:1758	SEND_TO_Q	nanny
Please remember to choose an appropriate fantasy-oriented name.	src/interpreter.c:1781	SEND_TO_Q	nanny
Did I get that right,	src/interpreter.c:1782	buffered:sprintf	nanny
Password:	src/interpreter.c:1793	SEND_TO_Q	nanny
Invalid name, please try another.	src/interpreter.c:1805	SEND_TO_Q	nanny
Please remember to choose an appropriate fantasy-oriented name.	src/interpreter.c:1812	SEND_TO_Q	nanny
Did I get that right,	src/interpreter.c:1813	buffered:sprintf	nanny
Request for new char	src/interpreter.c:1824	buffered:sprintf	nanny
] (siteban)	src/interpreter.c:1824	buffered:sprintf	nanny
denied from [	src/interpreter.c:1824	buffered:sprintf	nanny
Sorry, new characters are not allowed from your site!	src/interpreter.c:1827	SEND_TO_Q	nanny
Sorry, new players can't be created at the moment.	src/interpreter.c:1834	SEND_TO_Q	nanny
Request for new char	src/interpreter.c:1836	buffered:sprintf	nanny
] (wizlock)	src/interpreter.c:1836	buffered:sprintf	nanny
denied from [	src/interpreter.c:1836	buffered:sprintf	nanny
New character.	src/interpreter.c:1842	SEND_TO_Q	nanny
Give me a password for	src/interpreter.c:1843	buffered:sprintf	nanny
Okay, what IS it, then?	src/interpreter.c:1850	SEND_TO_Q	nanny
Please type Yes or No:	src/interpreter.c:1857	SEND_TO_Q	nanny
Wrong password... disconnecting.	src/interpreter.c:1883	SEND_TO_Q	nanny
Password:	src/interpreter.c:1886	SEND_TO_Q	nanny
Wrong password.	src/interpreter.c:1886	SEND_TO_Q	nanny
Sorry, this char has not been cleared for login from your site!	src/interpreter.c:1898	SEND_TO_Q	nanny
Connection attempt for	src/interpreter.c:1901	buffered:sprintf	nanny
denied from	src/interpreter.c:1901	buffered:sprintf	nanny
Request for login denied for	src/interpreter.c:1910	buffered:sprintf	nanny
] (wizlock)	src/interpreter.c:1910	buffered:sprintf	nanny
] has connected.	src/interpreter.c:1924	buffered:sprintf	nanny
LOGIN FAILURE	src/interpreter.c:1930	buffered:sprintf	nanny
SINCE LAST SUCCESSFUL LOGIN.	src/interpreter.c:1930	buffered:sprintf	nanny
*** PRESS RETURN:	src/interpreter.c:1937	SEND_TO_Q	nanny
Illegal password.	src/interpreter.c:1946	SEND_TO_Q	nanny
Password:	src/interpreter.c:1947	SEND_TO_Q	nanny
Please retype password:	src/interpreter.c:1954	SEND_TO_Q	nanny
Passwords don't match... start over.	src/interpreter.c:1966	SEND_TO_Q	nanny
Password:	src/interpreter.c:1967	SEND_TO_Q	nanny
Do you want ANSI color (Y/N)?	src/interpreter.c:1978	SEND_TO_Q	nanny
Do you want ANSI color (Y/N)?	src/interpreter.c:2004	SEND_TO_Q	nanny
Please answer Y or N.	src/interpreter.c:2004	SEND_TO_Q	nanny
What is your sex (M/F)?	src/interpreter.c:2008	SEND_TO_Q	nanny
That is not a sex..	src/interpreter.c:2024	SEND_TO_Q	nanny
What IS your sex?	src/interpreter.c:2024	SEND_TO_Q	nanny
That is not a race..	src/interpreter.c:2051	SEND_TO_Q	nanny
That is not a race..	src/interpreter.c:2070	SEND_TO_Q	nanny
What IS your race?	src/interpreter.c:2070	SEND_TO_Q	nanny
That's not a class.	src/interpreter.c:2085	SEND_TO_Q	nanny
Invalid choice!	src/interpreter.c:2101	SEND_TO_Q	nanny
Your ability scores:	src/interpreter.c:2107	SEND_TO_Q	nanny
Press 'Y' to keep these stats, and 'N' to reroll:	src/interpreter.c:2118	SEND_TO_Q	nanny
*** PRESS RETURN:	src/interpreter.c:2131	SEND_TO_Q	nanny
Your ability scores:	src/interpreter.c:2135	SEND_TO_Q	nanny
Press 'Y' to keep these stats, and 'N' to reroll:	src/interpreter.c:2146	SEND_TO_Q	nanny
Invalid choice! Select 'Y' or 'N':	src/interpreter.c:2150	SEND_TO_Q	nanny
] new player.	src/interpreter.c:2154	buffered:sprintf	nanny
You are too unhealthy to play!	src/interpreter.c:2178	SEND_TO_Q	nanny
has entered the game.	src/interpreter.c:2211	act	nanny
You have mail waiting.	src/interpreter.c:2225	send_to_char	nanny
You could not afford your rent!	src/interpreter.c:2227	send_to_char	nanny
Your possesions have been donated to the Salvation Army!	src/interpreter.c:2227	send_to_char	nanny
Enter the new text you'd like others to see when they look at you.	src/interpreter.c:2259	write_to_output	nanny
Enter your old password:	src/interpreter.c:2272	SEND_TO_Q	nanny
Enter your password for verification:	src/interpreter.c:2278	SEND_TO_Q	nanny
Enter a new password:	src/interpreter.c:2299	SEND_TO_Q	nanny
ARE YOU ABSOLUTELY SURE?	src/interpreter.c:2314	SEND_TO_Q	nanny
Please type "yes" to confirm:	src/interpreter.c:2314	SEND_TO_Q	nanny
YOU ARE ABOUT TO DELETE THIS CHARACTER PERMANENTLY.	src/interpreter.c:2314	SEND_TO_Q	nanny
) has self-deleted.	src/interpreter.c:2344	buffered:sprintf	nanny
nice ../bin/autowiz	src/limits.c:279	buffered:sprintf	check_autowiz
Your stomach growls with hunger.	src/limits.c:386	send_to_char	gain_condition
You feel a bit parched.	src/limits.c:389	send_to_char	gain_condition
Your head starts to clear.	src/limits.c:393	send_to_char	gain_condition
You are hungry.	src/limits.c:403	send_to_char	gain_condition
You are thirsty.	src/limits.c:406	send_to_char	gain_condition
You are now sober.	src/limits.c:410	send_to_char	gain_condition
force-rented and extracted (idle).	src/limits.c:449	buffered:sprintf	check_idling
fades out of existence.	src/limits.c:543	buffered:sprintf	point_update
decays in your hands, and the contents fall to the ground.	src/limits.c:599	act	point_update
A quivering horde of maggots consumes	src/limits.c:607	act	point_update
A quivering horde of maggots consumes	src/limits.c:609	act	point_update
A horde of flesh-eating ants consumes	src/limits.c:621	act	point_update
A horde of flesh-eating ants consumes	src/limits.c:623	act	point_update
The earth opens up and swallows	src/limits.c:629	act	point_update
The earth opens up and swallows	src/limits.c:631	act	point_update
A puff of smoke rises from your pack.	src/magic.c:588	send_to_char	mag_materials
's pack.	src/magic.c:589	act	mag_materials
A puff of smoke rises from	src/magic.c:589	act	mag_materials
Pulling a shard of obsidian from a pocket, you crush it under your heel...	src/magic.c:624	send_to_char	mag_damage
pocket and crushes it beneath	src/magic.c:626	act	mag_damage
pulls something out of	src/magic.c:626	act	mag_damage
You attempt the spell without the components..	src/magic.c:629	send_to_char	mag_damage
Pulling a prism from a pocket, you crush it under your heel...	src/magic.c:662	send_to_char	mag_damage
pocket and crushes it beneath	src/magic.c:664	act	mag_damage
pulls something out of	src/magic.c:664	act	mag_damage
Pulling a pinch of ash from a pocket, you cast it about the room...	src/magic.c:678	send_to_char	mag_damage
pulls a pinch of ash out of a pocket and casts it about the room.	src/magic.c:680	act	mag_damage
Pulling the eye of a beholder from a pocket, you throw it to the ground...	src/magic.c:694	send_to_char	mag_damage
pulls a small orb out of a pocket and dashes it to the ground.	src/magic.c:696	act	mag_damage
Your magick backfires!	src/magic.c:705	send_to_char	mag_damage
Your magick backfires!	src/magic.c:717	send_to_char	mag_damage
The gods protect	src/magic.c:735	act	mag_damage
The gods protect	src/magic.c:752	act	mag_damage
A blast of hot air washes over you.	src/magic.c:833	send_to_zone	mag_damage
Thunder rumbles through the air.	src/magic.c:838	send_to_zone	mag_damage
You crush a small lens under your heel.	src/magic.c:935	send_to_char	mag_affects
crushes a small lens under	src/magic.c:936	act	mag_affects
Your magic fades, then dies out totally.	src/magic.c:943	send_to_char	mag_affects
You can only do this outdoors!	src/magic.c:1120	send_to_char	mag_affects
You cannot protect yourself from the Evil inside you!	src/magic.c:1145	send_to_char	mag_affects
killed by Protection from Evil.	src/magic.c:1146	buffered:sprintf	mag_affects
The forces of Light destroy you for your betrayal!	src/magic.c:1165	send_to_char	mag_affects
killed by Protection from Good.	src/magic.c:1166	buffered:sprintf	mag_affects
Pulling a bit of sand from a pocket, you cast it about the room...	src/magic.c:1204	send_to_char	mag_affects
pulls a bit of sand out of a pocket and casts it about the room.	src/magic.c:1206	act	mag_affects
You attempt the spell without the components...	src/magic.c:1210	send_to_char	mag_affects
Your spell fails to affect them because you are not an Outlaw!	src/magic.c:1214	send_to_char	mag_affects
is not an Outlaw!	src/magic.c:1215	buffered:sprintf	mag_affects
tried to cast a spell on you but failed because	src/magic.c:1215	buffered:sprintf	mag_affects
shakes his head wearily, but then snaps out of it!	src/magic.c:1224	act	mag_affects
shakes his head wearily, but then snaps out of it!	src/magic.c:1231	act	mag_affects
You feel very sleepy... Zzzz......	src/magic.c:1243	act	mag_affects
goes to sleep.	src/magic.c:1245	act	mag_affects
A frog leg turns into dust as you mouth the words of the spell...	src/magic.c:1276	send_to_char	mag_affects
A small chunk of iron melts in your palm as you cast the spell...	src/magic.c:1303	send_to_char	mag_affects
's palm as	src/magic.c:1305	act	mag_affects
A small chunk of iron melts in	src/magic.c:1305	act	mag_affects
cast a spell...	src/magic.c:1305	act	mag_affects
You are too giddy to have any followers!	src/magic.c:1711	send_to_char	mag_summons
The corpse starts to twitch, then stands with a life of it's own!	src/magic.c:1736	send_to_char	mag_summons
You feel better.	src/magic.c:1767	send_to_char	mag_points
's wounds glow and mend themselves.	src/magic.c:1769	act	mag_points
You feel a lot better!	src/magic.c:1774	send_to_char	mag_points
's wounds glow and mend themselves.	src/magic.c:1776	act	mag_points
You focus your mind on healing your body..	src/magic.c:1784	send_to_char	mag_points
Your wounds mend themselves!	src/magic.c:1786	send_to_char	mag_points
A warm feeling floods your body.	src/magic.c:1791	send_to_char	mag_points
's wounds glow and mend themselves.	src/magic.c:1793	act	mag_points
A warm feeling floods your body.	src/magic.c:1801	send_to_char	mag_points
's wounds glow and mend themselves.	src/magic.c:1803	act	mag_points
You feel vitalized!	src/magic.c:1809	send_to_char	mag_points
You feel invigorated!	src/magic.c:1814	send_to_char	mag_points
Your wounds mend beneath your hands!	src/magic.c:1819	send_to_char	mag_points
's hands!	src/magic.c:1821	act	mag_points
Your wounds start to heal beneath	src/magic.c:1821	act	mag_points
SYSERR: unknown spellnum	src/magic.c:1863	buffered:sprintf	mag_unaffects
passed to mag_unaffects	src/magic.c:1863	buffered:sprintf	mag_unaffects
Spell unimplemented, it would seem.	src/magic.c:1983	send_to_char	mag_creations
I seem to have goofed.	src/magic.c:1990	send_to_char	mag_creations
: obj not found	src/magic.c:1991	buffered:sprintf	mag_creations
SYSERR: spell_creations, spell	src/magic.c:1991	buffered:sprintf	mag_creations
You create	src/magic.c:1998	act	mag_creations
* * * * Dark Pawns Mail System * * * *	src/mail.c:435	buffered:sprintf	read_delete
starts to write some mail.	src/mail.c:533	act	postmaster_send_mail
a piece of mail.	src/mail.c:594	act	postmaster_receive_mail
, city =	src/mapcode.c:203	buffered:sprintf	do_map
, desert =	src/mapcode.c:203	buffered:sprintf	do_map
, earth =	src/mapcode.c:203	buffered:sprintf	do_map
, field =	src/mapcode.c:203	buffered:sprintf	do_map
, fire =	src/mapcode.c:203	buffered:sprintf	do_map
, forest =	src/mapcode.c:203	buffered:sprintf	do_map
, hills =	src/mapcode.c:203	buffered:sprintf	do_map
, noswim water =	src/mapcode.c:203	buffered:sprintf	do_map
, swamp =	src/mapcode.c:203	buffered:sprintf	do_map
, swim water =	src/mapcode.c:203	buffered:sprintf	do_map
, underwater =	src/mapcode.c:203	buffered:sprintf	do_map
, wind =	src/mapcode.c:203	buffered:sprintf	do_map
KEY: inside =	src/mapcode.c:203	buffered:sprintf	do_map
flying =	src/mapcode.c:203	buffered:sprintf	do_map
mountain =	src/mapcode.c:203	buffered:sprintf	do_map
undefined	src/medit.c:372	buffered:strcpy	medit_save_to_disk
undefined	src/medit.c:374	buffered:strcpy	medit_save_to_disk
Enter position number :	src/medit.c:471	send_to_char	medit_disp_positions
Enter gender number :	src/medit.c:490	send_to_char	medit_disp_sex
Enter attack type :	src/medit.c:508	send_to_char	medit_disp_attack_types
Current flags :	src/medit.c:532	buffered:sprintf	medit_disp_mob_flags
Enter mob flags (0 to quit) :	src/medit.c:532	buffered:sprintf	medit_disp_mob_flags
Current flags :	src/medit.c:556	buffered:sprintf	medit_disp_aff_flags
Enter aff flags (0 to quit) :	src/medit.c:556	buffered:sprintf	medit_disp_aff_flags
Current flags :	src/medit.c:579	buffered:sprintf	medit_disp_script_flags
Enter script flags (0 to quit) :	src/medit.c:579	buffered:sprintf	medit_disp_script_flags
Enter mob race :	src/medit.c:604	send_to_char	medit_disp_races
) Alias:	src/medit.c:618	buffered:snprintf	medit_disp_menu
) Alignment: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) Armor Class: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) D-Desc:-	src/medit.c:618	buffered:snprintf	medit_disp_menu
) Damroll: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) Exp: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) Gold: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) HP Bonus: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) Hitroll: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) L-Desc:-	src/medit.c:618	buffered:snprintf	medit_disp_menu
) Level: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) Num HP Dice: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) NumDamDice: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) S-Desc:	src/medit.c:618	buffered:snprintf	medit_disp_menu
) Size HP Dice: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) SizeDamDice: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
-- Mob Number: [	src/medit.c:618	buffered:snprintf	medit_disp_menu
) AFF Flags :	src/medit.c:654	buffered:snprintf	medit_disp_menu
) Attack :	src/medit.c:654	buffered:snprintf	medit_disp_menu
) Default :	src/medit.c:654	buffered:snprintf	medit_disp_menu
) NPC Flags :	src/medit.c:654	buffered:snprintf	medit_disp_menu
) Noise :	src/medit.c:654	buffered:snprintf	medit_disp_menu
) Position :	src/medit.c:654	buffered:snprintf	medit_disp_menu
) Race :	src/medit.c:654	buffered:snprintf	medit_disp_menu
) Script Menu	src/medit.c:654	buffered:snprintf	medit_disp_menu
Enter choice :	src/medit.c:654	buffered:snprintf	medit_disp_menu
Cannot assign a script until the mob is saved at least once.	src/medit.c:685	send_to_char	medit_disp_script_menu
) Script Flags:	src/medit.c:696	buffered:sprintf	medit_disp_script_menu
Enter choice (0 to quit) :	src/medit.c:703	buffered:strcat	medit_disp_script_menu
Field must be numerical, try again :	src/medit.c:722	send_to_char	medit_parse
Saving mobile to memory.	src/medit.c:737	send_to_char	medit_parse
edits mob	src/medit.c:739	buffered:sprintf	medit_parse
Invalid choice!	src/medit.c:749	send_to_char	medit_parse
Do you wish to save the mobile? :	src/medit.c:750	send_to_char	medit_parse
Do you wish to save the changes to the mobile? (y/n) :	src/medit.c:764	send_to_char	medit_parse
Enter mob description:	src/medit.c:790	write_to_output	medit_parse
Enter new value :	src/medit.c:900	send_to_char	medit_parse
Enter new text :	src/medit.c:904	send_to_char	medit_parse
Enter script name:	src/medit.c:982	send_to_char	medit_parse
): Attempting to call non-existing mob func	src/mobact.c:85	buffered:sprintf	mobile_activity
'Come to destroy my kin? Die!', exclaims	src/mobact.c:252	act	mobile_activity
'Hey! You're the fiend that attacked me!!!', exclaims	src/mobact.c:274	act	mobile_activity
jumps to the aid of	src/mobact.c:298	act	mobile_activity
grins evilly.	src/mobact.c:313	act	mobile_activity
'Another dark pawn trying to be a knight, eh?', asks	src/mobact.c:316	act	mobile_activity
says, 'I can fix that.'	src/mobact.c:318	act	mobile_activity
grins evilly.	src/mobact.c:333	act	mobile_activity
mutters something about filthy animals in	src/mobprog.c:83	act	mp_greet
says, 'Have a seat there! Stay a while, rest your bones and warm your feet by the fire!'	src/mobprog.c:89	act	mp_greet
and wags	src/mobprog.c:119	act	mp_give
tail happily.	src/mobprog.c:119	act	mp_give
for a while.	src/mobprog.c:124	act	mp_give
sniffs around and plays with	src/mobprog.c:124	act	mp_give
quickly loses interest.	src/mobprog.c:128	act	mp_give
closely, then hands it back.	src/mobprog.c:135	act	mp_give
peers at	src/mobprog.c:135	act	mp_give
growls, 'Are you mocking me?'	src/mobprog.c:137	act	mp_give
peers at the soul, then licks	src/mobprog.c:145	act	mp_give
says, 'This will do nicely.. you may enter!'	src/mobprog.c:147	act	mp_give
pops the soul into his mouth and swallows it, as a hideous	src/mobprog.c:149	act	mp_give
screaming rings in your ears...	src/mobprog.c:149	act	mp_give
parts his gnarled hands and a shimmering black portal materializes before you!	src/mobprog.c:155	act	mp_give
says, 'Thanks for helping clean this place up...'	src/mobprog.c:164	act	mp_give
says, 'Wow, this is pretty neat, thanks.'	src/mobprog.c:167	act	mp_give
sniffs the coins and proceeds to eat them.	src/mobprog.c:180	act	mp_bribe
tips his hat and smiles a thank you.	src/mobprog.c:184	act	mp_bribe
The mercenary counts the coins then secrets them away.	src/mobprog.c:189	send_to_char	mp_bribe
The mercenary swears his allegiance to you.	src/mobprog.c:191	send_to_char	mp_bribe
hires the mercenary.	src/mobprog.c:193	act	mp_bribe
laughs somewhat rudely.	src/mobprog.c:195	act	mp_bribe
know...'	src/mobprog.c:199	act	mp_bribe
says, 'Are you trying to bribe me? That's against the law you	src/mobprog.c:199	act	mp_bribe
says, 'And not quite enough cash, either.'	src/mobprog.c:201	act	mp_bribe
grins evilly.	src/mobprog.c:203	act	mp_bribe
says, 'Thank you very much, monsieur.'	src/mobprog.c:208	act	mp_bribe
says, 'Now get outta here!'	src/mobprog.c:210	act	mp_bribe
out of the cell!	src/mobprog.c:212	act	mp_bribe
says, 'Are you trying to bribe me? That's against the law you know...'	src/mobprog.c:223	act	mp_bribe
glances around warily and says, 'I am off duty now...'	src/mobprog.c:227	act	mp_bribe
lays down and falls asleep on the job!	src/mobprog.c:229	act	mp_bribe
says, 'Thanks for the investment, I appreciate it.'	src/mobprog.c:235	act	mp_bribe
says, 'Thanks hon, but I ain't THAT cheap.'	src/mobprog.c:248	act	mp_bribe
through a hidden door.	src/mobprog.c:253	act	mp_bribe
exclaims, 'Cheap bastard, come back with some money!'	src/mobprog.c:270	act	mp_bribe
gets kicked out on	src/mobprog.c:272	act	mp_bribe
kicks you out on your ass!	src/mobprog.c:273	act	mp_bribe
barks 'On your feet, slacker!'	src/mobprog.c:305	act	entry_prog
growls, 'Report to my office at 0500 tomorrow morning.'	src/mobprog.c:308	act	entry_prog
growls, 'At ease, soldier.'	src/mobprog.c:316	act	entry_prog
frowns at	src/mobprog.c:322	act	entry_prog
says, 'Hail unto the True One, Captain.'	src/mobprog.c:323	act	entry_prog
roars: 'Protect the innocent! BANZAIIII! CHARGE!'	src/mobprog.c:425	act	kill_bad_guy
You bravely rescue	src/mobprog.c:445	act	npc_rescue
Sign this, please! There's too much violence!	src/mobprog.c:528	buffered:strcpy	mp_sound
You look like a kind person.. sign this petition?	src/mobprog.c:530	buffered:strcpy	mp_sound
adjusts his tool belt.	src/mobprog.c:535	buffered:strcpy	mp_sound
wipes the sweat of labor from his brow.	src/mobprog.c:537	buffered:strcpy	mp_sound
Arch Bishop Dinive to arrive on the Day of Winter Dawning!	src/mobprog.c:542	buffered:strcpy	mp_sound
By mandate of the church, no violence in town! The penalty is jail time!	src/mobprog.c:545	buffered:strcpy	mp_sound
Repent sinners! The end time is near!	src/mobprog.c:550	buffered:strcpy	mp_sound
Spare a coin, buddy?	src/mobprog.c:556	buffered:strcpy	mp_sound
jingles his cup.	src/mobprog.c:561	buffered:strcpy	mp_sound
sings an old war ditty... badly off-key.	src/mobprog.c:566	buffered:strcpy	mp_sound
plays a lilting tune about your mother's beauty.	src/mobprog.c:571	buffered:strcpy	mp_sound
sings a melody about your conquests in battle.	src/mobprog.c:573	buffered:strcpy	mp_sound
tries to escape from an invisible box only he can see.	src/mobprog.c:577	buffered:strcpy	mp_sound
tokes up on some kind bud.	src/mobprog.c:581	buffered:strcpy	mp_sound
Carry on, citizen.	src/mobprog.c:586	buffered:strcpy	mp_sound
jiggles in your direction.	src/mobprog.c:590	buffered:strcpy	mp_sound
smiles at you.	src/mobprog.c:596	buffered:strcpy	mp_sound
shuffles some papers around on his desk.	src/mobprog.c:601	buffered:strcpy	mp_sound
String too long - Truncated.	src/modify.c:134	send_to_char	string_add
String too long. Last line skipped.	src/modify.c:147	send_to_char	string_add
Message sent!	src/modify.c:223	write_to_output	playing_string_cleanup
Mail aborted.	src/modify.c:225	write_to_output	playing_string_cleanup
Description aborted.	src/modify.c:245	write_to_output	exdesc_string_cleanup
Skill being one of the following:	src/modify.c:266	buffered:strcpy	do_skillset
Usage: string ('obj'|'mob') <name> <field> [<string>]	src/modify.c:608	send_to_char	do_string
No field by that name. Try 'help string'.	src/modify.c:613	send_to_char	do_string
I don't know anyone by that name...	src/modify.c:621	send_to_char	do_string
WARNING: You have changed the name of a player.	src/modify.c:633	send_to_char	do_string
That field is for monsters only.	src/modify.c:637	send_to_char	do_string
That field is for monsters only.	src/modify.c:644	send_to_char	do_string
Monsters have no titles.	src/modify.c:655	send_to_char	do_string
That field is undefined for monsters.	src/modify.c:661	send_to_char	do_string
Nothing by that name..	src/modify.c:669	send_to_char	do_string
You have to supply a keyword.	src/modify.c:685	send_to_char	do_string
New field.	src/modify.c:698	send_to_char	do_string
Modifying description.	src/modify.c:705	send_to_char	do_string
You must supply a field name.	src/modify.c:713	send_to_char	do_string
No field with that keyword.	src/modify.c:719	send_to_char	do_string
Field deleted.	src/modify.c:738	send_to_char	do_string
That field is undefined for objects.	src/modify.c:744	send_to_char	do_string
String too long - truncated.	src/modify.c:758	send_to_char	do_string
Enter string. terminate with '@'.	src/modify.c:767	send_to_char	do_string
You do not have anything to mold!	src/new_cmds.c:78	send_to_char	do_mold
You must specify a name and a description.	src/new_cmds.c:84	send_to_char	do_mold
_ mold_item	src/new_cmds.c:88	buffered:sprintf	do_mold
has been left here.	src/new_cmds.c:96	buffered:strcat	do_mold
The material magically hardens when you create	src/new_cmds.c:101	buffered:sprintf	do_mold
How can you think of food at a time like this?!?	src/new_cmds.c:126	send_to_char	do_carve
You want to carve what?!?	src/new_cmds.c:131	send_to_char	do_carve
This game doesn't support self-mutilation!	src/new_cmds.c:136	send_to_char	do_carve
You kill it first and THEN you can eat it!	src/new_cmds.c:141	send_to_char	do_carve
to carve!	src/new_cmds.c:146	buffered:sprintf	do_carve
Your initials are about all you can carve in that!	src/new_cmds.c:152	send_to_char	do_carve
There's no way you could ever eat THAT!!!	src/new_cmds.c:158	send_to_char	do_carve
carves up some meat from the	src/new_cmds.c:200	act	do_carve
You carve up some meat from the	src/new_cmds.c:201	act	do_carve
You're a little busy for that!	src/new_cmds.c:237	send_to_char	do_behead
Behead who?	src/new_cmds.c:242	send_to_char	do_behead
This MUD doesn't support self-mutilation!	src/new_cmds.c:247	send_to_char	do_behead
You kill it first and THEN you behead it!	src/new_cmds.c:252	send_to_char	do_behead
to behead!	src/new_cmds.c:257	buffered:sprintf	do_behead
You behead	src/new_cmds.c:278	act	do_behead
bare hands!	src/new_cmds.c:283	act	do_behead
You rip the head off	src/new_cmds.c:288	act	do_behead
with your bare hands!	src/new_cmds.c:288	act	do_behead
bare hands!	src/new_cmds.c:294	act	do_behead
You rip the head off	src/new_cmds.c:299	act	do_behead
with your bare hands!	src/new_cmds.c:299	act	do_behead
a bloody head hacked from	src/new_cmds.c:313	buffered:strcpy	do_behead
a bloody head ripped from	src/new_cmds.c:315	buffered:strcpy	do_behead
a bloody head ripped from	src/new_cmds.c:317	buffered:strcpy	do_behead
has been left here.	src/new_cmds.c:325	buffered:strcat	do_behead
headless beheaded	src/new_cmds.c:343	buffered:strcat	do_behead
The Gods prevent thy violent act.	src/new_cmds.c:378	send_to_char	do_headbutt
You aren't qualified to headbutt anyone!	src/new_cmds.c:384	send_to_char	do_headbutt
Headbutt who?	src/new_cmds.c:402	send_to_char	do_headbutt
How dare you try to headbutt a god!	src/new_cmds.c:415	send_to_char	do_headbutt
You are thrown across the room...	src/new_cmds.c:416	send_to_char	do_headbutt
But that could kill you!	src/new_cmds.c:433	send_to_char	do_headbutt
You'd better leave all the martial arts to fighters.	src/new_cmds.c:481	send_to_char	do_bearhug
Bear hug who?	src/new_cmds.c:499	send_to_char	do_bearhug
The gods reject your impunity.	src/new_cmds.c:506	send_to_char	do_bearhug
Aren't we funny today...	src/new_cmds.c:512	send_to_char	do_bearhug
You need to be bare handed to get a good grip.	src/new_cmds.c:518	send_to_char	do_bearhug
You're not trained in slitting throats!	src/new_cmds.c:561	send_to_char	do_cutthroat
Cut what throat where?	src/new_cmds.c:567	send_to_char	do_cutthroat
That would be bad.	src/new_cmds.c:572	send_to_char	do_cutthroat
You need to wield a weapon to make it a success.	src/new_cmds.c:577	send_to_char	do_cutthroat
Only daggers and such can be used for cutting a throat.	src/new_cmds.c:582	send_to_char	do_cutthroat
You feel too peaceful to slit a throat!	src/new_cmds.c:595	send_to_char	do_cutthroat
Ancient forces protect	src/new_cmds.c:601	act	do_cutthroat
from your wrath!	src/new_cmds.c:601	act	do_cutthroat
Their throat is already slit!	src/new_cmds.c:607	send_to_char	do_cutthroat
slits your throat!	src/new_cmds.c:636	buffered:sprintf	do_cutthroat
You slit their throat from ear to ear!	src/new_cmds.c:638	send_to_char	do_cutthroat
Your slash at their throat barely misses!	src/new_cmds.c:643	send_to_char	do_cutthroat
makes a vicious lunge at your throat!	src/new_cmds.c:644	buffered:sprintf	do_cutthroat
just can't stop playing with	src/new_cmds.c:690	act	do_otouch
, who slumps over in orgasm!	src/new_cmds.c:695	act	do_otouch
A wonderful feeling spreads throughout your entire body as	src/new_cmds.c:697	act	do_otouch
touches you in all the right places...	src/new_cmds.c:697	act	do_otouch
collapses in a quivering, moaning heap as	src/new_cmds.c:701	act	do_otouch
touches them..	src/new_cmds.c:701	act	do_otouch
's armor and slowly spreads down his leg.	src/new_cmds.c:709	act	do_otouch
